Edge TPU Compiler version 16.0.384591198
Input: densenet_coco.tflite
Output: densenet_coco_edgetpu.tflite

Operator                       Count      Status

PAD                            2          Operation is working on an unsupported data type
CONCATENATION                  58         Operation is working on an unsupported data type
MEAN                           1          Operation is working on an unsupported data type
SOFTMAX                        1          Operation is working on an unsupported data type
AVERAGE_POOL_2D                3          Operation is working on an unsupported data type
MUL                            62         Operation is working on an unsupported data type
CONV_2D                        120        Operation is working on an unsupported data type
FULLY_CONNECTED                2          Operation is working on an unsupported data type
ADD                            62         Operation is working on an unsupported data type
MAX_POOL_2D                    1          Operation is working on an unsupported data type
